# NPC=-507372189
kjell_*|kjell_cutscene,kjell_sword,kjell_guitar
music_player:*|music_player:playlist_toggle,music_player:clear_playlist,music_player:shuffle_playlist,music_player:currently_playing,music_player:tracks,music_player:playlist
toplevel*:task_system|toplevel_full:task_system,toplevel:task_system
ourania_bank_charge:*_rune|ourania_bank_charge:mind_rune,ourania_bank_charge:body_rune,ourania_bank_charge:air_rune,ourania_bank_charge:soul_rune,ourania_bank_charge:water_rune,ourania_bank_charge:nature_rune,ourania_bank_charge:chaos_rune,ourania_bank_charge:earth_rune,ourania_bank_charge:astral_rune,ourania_bank_charge:blood_rune,ourania_bank_charge:cosmic_rune,ourania_bank_charge:death_rune,ourania_bank_charge:fire_rune,ourania_bank_charge:law_rune
grand_exchange:view_offer_*|grand_exchange:view_offer_3,grand_exchange:view_offer_2,grand_exchange:view_offer_0,grand_exchange:view_offer_4,grand_exchange:view_offer_5,grand_exchange:view_offer_1
toplevel*:options|toplevel:options,toplevel_full:options
*_spellbook:ardougne_teleport|modern_spellbook:ardougne_teleport
chat_setup:clan_colour*|chat_setup:clan_colour6,chat_setup:clan_colour8,chat_setup:clan_colour18,chat_setup:clan_colour16,chat_setup:clan_colour4,chat_setup:clan_colour2,chat_setup:clan_colour20,chat_setup:clan_colour14,chat_setup:clan_colour13,chat_setup:clan_colour10,chat_setup:clan_colour3,chat_setup:clan_colour17,chat_setup:clan_colour1,chat_setup:clan_colour7,chat_setup:clan_colour11,chat_setup:clan_colour9,chat_setup:clan_colour12,chat_setup:clan_colour15,chat_setup:clan_colour5,chat_setup:clan_colour19
slayer_rewards_assignment:reassign_*|slayer_rewards_assignment:reassign_text,slayer_rewards_assignment:reassign_points
canoe_stations_map:travel_*|canoe_stations_map:travel_lumbridge,canoe_stations_map:travel_wilderness_pond,canoe_stations_map:travel_barbarian_village,canoe_stations_map:travel_champions_guild,canoe_stations_map:travel_edgeville
toplevel*:prayer_list|toplevel_full:prayer_list,toplevel:prayer_list
hairdressers_salon:style_*|hairdressers_salon:style_hair,hairdressers_salon:style_beard
toplevel*:combat_styles|toplevel_full:combat_styles,toplevel:combat_styles
toplevel*:emotes|toplevel:emotes,toplevel_full:emotes
make_mould*:make*|make_mould_slayer:make_necklace_option_sapphire,make_mould:make_bracelet_ruby,make_mould_slayer:make_bracelet_option_ruby,make_mould_slayer:make_necklace_ruby,make_mould:make_ring_option_gold,make_mould:make_ring_dragonstone,make_mould:make_amulet_unstrung_option_diamond,make_mould:make_amulet_unstrung_gold,make_mould:make_amulet_unstrung_option_emerald,make_mould:make_necklace_option_dragonstone,make_mould:make_ring_emerald,make_mould_slayer:make_amulet_unstrung_option_ruby,make_mould:make_ring_onyx,make_mould_slayer:make_amulet_unstrung_option_emerald,make_mould:make_ring_diamond,make_mould_slayer:make_necklace_sapphire,make_mould_slayer:make_amulet_unstrung_option_diamond,make_mould:make_bracelet_option_ruby,make_mould:make_necklace_onyx,make_mould:make_necklace_gold,make_mould:make_amulet_unstrung_option_dragonstone,make_mould_slayer:make_bracelet_option_sapphire,make_mould:make_ring_sapphire,make_mould_slayer:make_ring_option_diamond,make_mould_slayer:make_amulet_unstrung_gold,make_mould_slayer:make_ring_enchanted_gem,make_mould:make_ring_gold,make_mould:make_bracelet_option_sapphire,make_mould_slayer:make_necklace_gold,make_mould:make_ring_option_ruby,make_mould_slayer:make_bracelet_emerald,make_mould:make_amulet_unstrung_option_ruby,make_mould:make_amulet_unstrung_onyx,make_mould_slayer:make_necklace_option_onyx,make_mould:make_necklace_emerald,make_mould_slayer:make_bracelet_ruby,make_mould:make_necklace_diamond,make_mould:make_necklace_ruby,make_mould:make_bracelet_sapphire,make_mould:make_necklace_dragonstone,make_mould:make_necklace_option_gold,make_mould_slayer:make_ring_emerald,make_mould:make_necklace_option_onyx,make_mould_slayer:make_ring_option_dragonstone,make_mould_slayer:make_amulet_unstrung_sapphire,make_mould:make_amulet_unstrung_emerald,make_mould_slayer:make_necklace_onyx,make_mould_slayer:make_necklace_option_diamond,make_mould_slayer:make_amulet_unstrung_option_onyx,make_mould_slayer:make_bracelet_option_onyx,make_mould_slayer:make_amulet_unstrung_option_sapphire,make_mould_slayer:make_amulet_unstrung_diamond,make_mould:make_bracelet_option_diamond,make_mould:make_bracelet_option_emerald,make_mould_slayer:make_bracelet_gold,make_mould:make_amulet_unstrung_option_sapphire,make_mould_slayer:make_ring_sapphire,make_mould:make_necklace_option_diamond,make_mould_slayer:make_ring_dragonstone,make_mould_slayer:make_bracelet_sapphire,make_mould:make_bracelet_onyx,make_mould_slayer:make_necklace_option_gold,make_mould_slayer:make_ring_option_gold,make_mould:make_amulet_unstrung_option_gold,make_mould:make_amulet_unstrung_dragonstone,make_mould_slayer:make_necklace_option_emerald,make_mould:make_amulet_unstrung_diamond,make_mould_slayer:make_ring_option_enchanted_gem,make_mould_slayer:make_bracelet_option_diamond,make_mould:make_necklace_option_emerald,make_mould_slayer:make_bracelet_option_dragonstone,make_mould:make_necklace_sapphire,make_mould_slayer:make_ring_onyx,make_mould:make_ring_option_emerald,make_mould_slayer:make_necklace_dragonstone,make_mould_slayer:make_ring_diamond,make_mould:make_necklace_option_sapphire,make_mould_slayer:make_necklace_diamond,make_mould_slayer:make_amulet_unstrung_emerald,make_mould_slayer:make_ring_gold,make_mould_slayer:make_ring_option_onyx,make_mould_slayer:make_amulet_unstrung_onyx,make_mould:make_ring_option_dragonstone,make_mould_slayer:make_bracelet_diamond,make_mould_slayer:make_amulet_unstrung_option_gold,make_mould_slayer:make_ring_option_ruby,make_mould_slayer:make_ring_option_sapphire,make_mould:make_ring_option_onyx,make_mould_slayer:make_amulet_unstrung_dragonstone,make_mould_slayer:make_bracelet_option_gold,make_mould_slayer:make_bracelet_dragonstone,make_mould:make_bracelet_dragonstone,make_mould:make_bracelet_diamond,make_mould:make_bracelet_emerald,make_mould:make_bracelet_option_gold,make_mould:make_bracelet_option_dragonstone,make_mould:make_bracelet_gold,make_mould:make_ring_option_sapphire,make_mould:make_necklace_option_ruby,make_mould_slayer:make_necklace_option_dragonstone,make_mould:make_ring_option_diamond,make_mould_slayer:make_bracelet_option_emerald,make_mould_slayer:make_necklace_emerald,make_mould_slayer:make_ring_ruby,make_mould_slayer:make_amulet_unstrung_ruby,make_mould:make_ring_ruby,make_mould:make_amulet_unstrung_option_onyx,make_mould:make_amulet_unstrung_sapphire,make_mould_slayer:make_bracelet_onyx,make_mould_slayer:make_ring_option_emerald,make_mould_slayer:make_amulet_unstrung_option_dragonstone,make_mould_slayer:make_necklace_option_ruby,make_mould:make_amulet_unstrung_ruby,make_mould:make_bracelet_option_onyx
toplevel*:quest_journals|toplevel_full:quest_journals,toplevel:quest_journals
# ITEM=2035375559
*logs*|windswept_logs,scrapey_tree_logs,white_logs,yew_logs,eucalyptus_pyre_logs,mahogany_logs_noted,arctic_pine_logs_noted,purple_logs,arctic_pine_logs,cursed_magic_logs,mahogany_logs,magic_logs,cursed_willow_logs,magic_logs_noted,eucalyptus_pyre_logs_noted,red_mahogany_logs,teak_pyre_logs,pyre_logs_noted,achey_tree_logs_noted,magic_pyre_logs,eucalyptus_logs,arctic_pyre_logs_noted,logs_tutorial_island,mahogany_pyre_logs,arctic_pyre_logs,oak_logs,willow_pyre_logs,maple_logs,yew_pyre_logs,maple_pyre_logs_noted,logs_noted,teak_logs,yew_logs_noted,oak_pyre_logs_noted,teak_pyre_logs_noted,willow_logs,dry_logs,willow_logs_noted,logs_3,eucalyptus_logs_noted,red_logs,teak_logs_noted,cursed_magic_logs_noted,pyre_logs,green_logs,oak_pyre_logs,magic_pyre_logs_noted,yew_pyre_logs_noted,oak_logs_noted,item_digger_woodlogs,blue_logs,logs,mahogany_pyre_logs_noted,scrapey_tree_logs_noted,maple_pyre_logs,maple_logs_noted,achey_tree_logs,willow_pyre_logs_noted
*_rune|body_rune,soul_rune,fire_rune,ground_astral_rune,dust_rune,lava_rune,earth_rune,pickaxe_head_rune,blank_mind_rune,broken_hatchet_rune,steam_rune,cosmic_rune,hatchet_head_rune,catalytic_rune,blank_air_rune,elemental_rune,unfinished_astral_rune,mist_rune,broken_pickaxe_rune,mind_rune,chaos_rune,water_rune,law_rune,air_rune,mud_rune,death_rune,smoke_rune,blank_water_rune,blank_earth_rune,blood_rune,blank_fire_rune,astral_rune,nature_rune
*_bar|mithril_bar,bronze_bar,enchanted_bar,bathus_bar,fractite_bar,metal_bar,gorgonite_bar,gold_bar,chocolate_bar,marmaros_bar,promethium_bar,primed_bar,perfect_gold_bar,adamant_bar,blurite_bar,iron_bar,monkey_bar,argonite_bar,mind_bar,unfinished_cocktail_choc_saturday_chocolate_bar,kratonite_bar,katagon_bar,rune_bar,elemental_bar,novite_bar,steel_bar,zephyrium_bar,lunar_bar,body_bar,silver_bar
@unlit_sources|oil_lamp_oil,candle_lantern_white,candle_lantern_black,oil_lantern_oil,bullseye_lantern_oil,sapphire_lantern_oil,mining_helmet,emerald_lantern,white_candle,black_candle,unlit_torch
*log*|windswept_logs,ham_logo_noted,scrapey_tree_logs,white_logs,yew_logs,eucalyptus_pyre_logs,mahogany_logs_noted,arctic_pine_logs_noted,purple_logs,arctic_pine_logs,cursed_magic_logs,mahogany_logs,magic_logs,cursed_willow_logs,magic_logs_noted,eucalyptus_pyre_logs_noted,red_mahogany_logs,teak_pyre_logs,pyre_logs_noted,achey_tree_logs_noted,magic_pyre_logs,eucalyptus_logs,ham_logo,arctic_pyre_logs_noted,logs_tutorial_island,mahogany_pyre_logs,arctic_pyre_logs,oak_logs,willow_pyre_logs,split_log_noted,maple_logs,yew_pyre_logs,maple_pyre_logs_noted,logs_noted,teak_logs,yew_logs_noted,oak_pyre_logs_noted,teak_pyre_logs_noted,willow_logs,dry_logs,willow_logs_noted,logs_3,special_teak_log,eucalyptus_logs_noted,red_logs,teak_logs_noted,cursed_magic_logs_noted,dream_log,split_log,pyre_logs,green_logs,yule_log_2009_christmas_event,oak_pyre_logs,magic_pyre_logs_noted,yew_pyre_logs_noted,oak_logs_noted,item_digger_woodlogs,blue_logs,logs,mahogany_pyre_logs_noted,scrapey_tree_logs_noted,maple_pyre_logs,maple_logs_noted,special_mahogany_log,achey_tree_logs,jointed_log,log_the_tale_of_the_muspah,willow_pyre_logs_noted
*_ore|katagon_ore,copper_ore,daeyalt_ore,rock_ore,gold_ore,mithril_ore,argonite_ore,fractite_ore,zephyrium_ore,lunar_ore,bathus_ore,novite_ore,silver_ore,gorgonite_ore,elemental_ore,tin_ore,promethium_ore,blurite_ore,perfect_gold_ore,iron_ore,runite_ore,marmaros_ore,kratonium_ore,adamantite_ore
tinderbox*|tinderbox_noted,tinderbox_dungeoneering_noted,tinderbox_dungeoneering,tinderbox
magical_blastbox*|magical_blastbox,magical_blastbox_dungeoneering,magical_blastbox_bound
*of_water|jug_of_water,cup_of_water,vial_of_water,bucket_of_water,bowl_of_water,staff_of_water,juju_vial_of_water,vase_of_water
pharaohs_sceptre_*|pharaohs_sceptre_1_noted,pharaohs_sceptre_1,pharaohs_sceptre_2,pharaohs_sceptre_noted,pharaohs_sceptre_3_noted,pharaohs_sceptre_3,pharaohs_sceptre_2_noted
@pouches|small_pouch,medium_pouch,medium_pouch_damaged,large_pouch,large_pouch_damaged,giant_pouch,giant_pouch_damaged
*_bolts_unf|blurite_bolts_unf,silver_bolts_unf,adamant_bolts_unf,steel_bolts_unf,mithril_bolts_unf,rune_bolts_unf,bronze_bolts_unf,iron_bolts_unf
*_mould|ammo_mould,bolt_mould,rabbit_mould,necklace_mould,demonic_sigil_mould,amulet_unstrung_mould,lens_mould,conductor_mould,gnomebowl_mould,unholy_mould,ring_mould,monkeyspeak_amulet_mould,key_mould,tiara_mould,chain_link_mould,sickle_mould,bracelet_mould,rod_clay_mould,holy_mould
*_talisman|nature_talisman,cosmic_talisman,body_talisman,earth_talisman,death_talisman,mind_talisman,soul_talisman,ancient_talisman,chaos_talisman,law_talisman,monkey_talisman,air_talisman,elemental_talisman,fire_talisman,omni_talisman,blood_talisman,water_talisman,urists_talisman,hunters_talisman
celestial_surgebox*|celestial_surgebox_dungeoneering,celestial_surgebox,celestial_surgebox_bound
*_satchel|red_satchel,plain_satchel,gold_satchel,rune_satchel,black_satchel,green_satchel
*_essence|pure_essence,rune_essence
*_dart_tip|mithril_dart_tip,dragon_dart_tip,rune_dart_tip,prototype_dart_tip,adamant_dart_tip,bronze_dart_tip,steel_dart_tip,iron_dart_tip
*firelighter|green_firelighter,red_firelighter,blue_firelighter,purple_firelighter,white_firelighter
# VARIABLES=-1703480068
activated_*|activated_curses,activated_prayers
*_task|hotfooting_it_task,adventurers_log_task,very_potter_task,and_it_was_this_big_task,stir_galahad_task,sandys_secret_getaway_task,splitting_headache_task,you_know_you_want_it_task,the_mogre_mash_task,take_a_bow_task,a_gift_from_khazard_task,shrimpin_aint_easy_task,stick_the_knife_in_task,hunting_the_hunter_task,fledgeling_adventurer_task,come_and_have_a_go_task,tower_power_task,one_day_you_shall_be_a_fork_task,on_the_ragged_edge_task,why_wont_you_die_task,arch_archer_task,draaaaaiiiiiins_task,air_craft_task,no_smoke_without_pyre_task,they_like_me_they_really_like_me_task,bovine_intervention_task,bunch_of_flours_task,flawless_victory_task,hi_ho_silver_task,fill_yer_bucket_task,i_swear_i_heard_it_scream_task,golden_shores_task,brace_yourself_task,five_a_day_task,king_of_the_castle_task,by_the_bucketload_task,shadow_boxing_task,double_strength_weaksauce_task,gonna_need_a_bigger_boat_task,its_only_a_model_task,to_catch_a_karambwan_task,a_knight_in_the_darkness_task,faster_pussycat_kill_kill_task,om_nom_nom_nom_task,dishwater_task,pyre_at_will_task,did_anyone_bring_any_toast_task,pot_stop_task,sniper_training_task,handicrafts_task,everybody_loves_coal_task,tread_carefully_task,kudos_on_the_kudos_task,money_down_the_drayn_task,armed_and_dangerous_task,handy_dandy_task,quarter_centurion_task,engage_task,a_world_in_microcosm_task,i_heard_you_like_mudskips_task,ice_the_icy_task,wait_thats_not_a_sheep_task,astronomical_task,yoink_task,creator_and_destroyer_task,crunchy_coating_task,are_you_chicken_task,return_to_senntisten_task,hack_and_smash_task,almost_made_in_ardougne_task,ring_my_bell_task,beware_of_the_dog_task,building_up_strength_task,it_belongs_in_a_museum_task,a_familiar_feeling_task,tinkle_the_ivories_task,youd_best_come_a_cookin_task,morgan_the_merrier_task,king_conifer_task,a_grave_consideration_task,breaking_and_entering_task,jackanory_task,sage_advice_task,fremmental_task,absolutely_enchanting_task,you_doity_rat_task,shellfish_roasting_on_an_open_fire_task,happy_hour_task,relocation_relocation_relocation_task,doom_task,these_arent_the_coins_youre_looking_for_task,beachcomber_task,dont_eat_the_pointy_bit_task,it_spoiled_my_view_task,you_can_bank_on_us_task,it_all_adze_up_task,its_a_trap_no_wait_its_a_pie_task,the_roots_of_all_evil_task,red_red_pies_of_summer_task,fruit_of_the_loom_task,jute_alors_task,for_fast_transactions_task,who_ate_all_the_pie_task,shipping_out_from_the_shipyard_task,strike_a_pose_task,berry_tasty_task,only_takes_a_little_vial_task,ive_changed_my_mind_task,nowt_tool_look_at_task,what_lies_below_task,sir_mitt_task,always_be_prepared_task,volatile_valuables_task,arent_they_supposed_to_be_twins_task,what_is_this_place_task,theyre_long_and_pointy_task,preaching_to_the_infected_task,not_waving_but_drowning_task,dungeons_and_dragons_task,banned_for_life_task,so_thats_what_ess_stands_for_task,nomadness_task,fish_fingers_task,bless_is_more_task,get_the_point_task,horseless_carriage_task,playing_the_waiting_game_task,burning_bush_task,star_seeker_task,artillery_strike_task,changing_rooms_task,dial_v_for_varrock_task,just_add_water_task,with_a_ten_foot_pole_task,it_matches_my_eyes_task,artisan_crafting_task,at_least_it_doesnt_need_walking_task,la_morte_darthur_task,they_have_families_to_feed_task,yak_attack_task,disarm_and_embark_task,journey_to_the_centre_of_the_earth_altar_task,ease_of_access_task,potting_with_otto_task,endangered_species_task,master_of_all_i_survey_task,on_your_way_task,going_along_with_the_fro_task,prayer_point_power_task,water_palaver_task,making_my_mind_up_task,runes_on_the_moon_task,dress_to_impress_task,a_taste_of_the_exotic_task,hail_to_the_duke_baby_task,flour_power_task,can_opener_task,point_of_en_tree_task,is_it_so_hard_to_walk_round_task,p_p_p_pick_up_some_prizes_task,im_lichen_this_task,camping_trip_task,why_did_the_lobster_blush_task,this_hasta_work_task,not_so_confusing_after_all_task,blinded_with_science_task,but_it_wont_warp_you_anywhere_task,sherpas_delight_task,capital_protection_what_task,on_the_level_task,play_dead_doggy_task,silky_smooth_task,i_know_a_shortcut_task,fearless_fishing_task,mastering_the_elements_task,stand_and_deliver_task,all_your_bass_task,hunters_of_the_horned_graahk_task,at_one_plus_fifty_five_with_nature_task,scourge_of_scurvy_task,stoic_sweetcorn_guardian_task,tan_your_hide_task,elementary_medicine_task,who_wants_to_watch_the_watchtower_task,introducing_explorer_jack_task,gods_give_me_strength_task,steel_justice_task,ourania_mania_task,stairway_to_haven_task,drop_it_like_its_hot_task,plank_you_very_much_task,making_learning_fun_task,family_values_task,the_body_shop_task,ten_in_a_row_task,no_time_to_lose_task,grand_theft_fish_task,living_on_a_prayer_task,oxymoron_incarnate_task,iron_on_task,three_rounds_rapid_men_task,just_like_that_task,green_fingers_task,at_one_with_nature_task,i_can_seer_my_house_from_here_task,leap_of_faith_task,thank_you_madam_task,prayer_of_attorney_task,the_fruit_of_the_sea_task,show_that_you_cairn_task,unlocking_your_emotions_task,mace_invaders_task,youre_the_dirty_rascal_task,i_wonder_if_itll_sprout_task,ammo_ammo_ammo_task,party_pooper_task,it_was_dead_already_task,it_just_croaked_task,blood_bank_withdrawal_task,keeping_tabs_on_varrock_task,put_to_port_in_port_sarim_task,weeping_willow_task,first_stryke_task,grinding_my_gears_task,battle_of_the_elements_task,the_long_of_it_task,tzhaar_wars_task,child_of_saradomin_task,cutting_edge_technology_task,chain_store_task,jaws_breaker_task,double_jointed_task,fun_for_the_whole_family_task,dont_bury_this_one_task,arriving_in_style_task,fleeing_the_scene_task,the_coal_train_task,in_the_countyard_task,reflax_actions_task,read_all_about_it_task,limey_task,moon_raker_task,boxing_clever_task,bargain_hunter_task,made_for_walking_task,put_your_smithing_hat_on_task,slippery_when_wet_task,not_on_my_watch_task,i_wonder_what_this_does_task,lighten_up_task,fairy_mountaineering_task,id_be_kharazi_to_eat_this_task,not_what_we_mean_by_irony_task,a_string_and_a_flare_task,temper_temper_task,its_a_snap_task,catching_some_rays_task,champion_task,bar_one_task,honestly_its_not_a_purse_task,eye_on_the_prize_task,klept_old_man_ia_task,water_logged_task,am_i_a_blademaster_yet_task,its_not_wabbit_season_task,you_could_just_knock_task,deadwing_task,going_on_a_summer_holiday_task,just_the_ticket_task,master_scrumper_task,like_a_varrocket_task,whos_a_good_boy_task,its_a_jungle_ogre_task,the_short_of_it_task,essential_facilitator_task,mind_your_back_task,on_the_run_task,axell_grease_task,why_task,hang_on_to_something_task,arachnophagia_task,vine_detta_task,climbing_the_walls_task,back_cran_door_task,im_a_lumberjack_and_im_okay_task,lumbering_around_task,waka_waka_waka_task,a_cat_is_for_life_task,are_you_being_served_task,hand_me_downs_task,falling_with_style_task,altar_ed_state_task,a_visit_to_charlie_task,made_to_order_task,come_in_here_and_say_that_task,intersceptre_task,its_not_a_red_one_task,doing_the_ironing_task,quick_as_a_shot_task,plentypotionentiary_task,what_a_melon_task,steel_yourself_for_combat_task,its_a_slightly_magical_stick_task,fremennik_history_101_task,gone_fishing_task,blast_and_hellfire_task,the_essence_of_magic_task,take_your_pick_task,lovely_with_a_squeeze_of_lemon_task,big_game_hunter_task,a_lick_of_paint_task,a_body_in_the_sewers_task,fruity_catch_task,cant_touch_this_task,peer_off_the_pier_task,sniffing_out_the_mole_task,flatpack_backpack_task,bring_the_antipoisons_task,promised_the_earth_task,thats_not_a_knife_task,do_they_come_in_other_colours_task,mass_production_task,what_no_cuddly_toy_task,the_graceful_barbarian_task,assaulted_goodies_task,make_a_bolt_for_it_task,red_revolution_task,avast_ardougne_task,mack_rolled_task,see_yew_at_five_task,must_be_funny_in_a_rich_mans_world_task,get_your_stinking_hands_off_me_task,alls_ferrous_in_love_and_war_task,willow_the_wisp_of_smoke_task,you_wouldnt_like_me_when_im_angry_task,how_to_maim_your_dragon_task,grand_candle_task,island_hopper_task,a_periodic_table_task,cant_make_an_omelette_task,chinchompa_powered_task,the_power_of_lava_task,i_cant_hear_dead_people_task,i_sleep_all_night_and_i_work_all_day_task,limber_lumber_jumper_task,twisted_fire_starter_task,easy_as_pie_task,gonna_need_a_bigger_range_task,hotpot_task,vial_deeds_task,concentration_is_key_task,window_shopping_task,put_your_hands_together_for_task,raise_the_roof_task,nice_view_task,when_this_caverns_rockin_task,are_yew_as_fired_up_as_i_am_task,click_your_heels_three_times_task,ratatouille_task,the_good_stuff_task,clay_of_champions_task,wheres_the_beef_task,sinclair_swirling_task,mudskip_the_light_fantastic_task,heavy_metal_task,a_bolt_from_the_blue_task,amulet_of_weedspeak_task,a_meal_fit_for_a_duke_task,at_home_on_the_range_task,defeating_deadly_dagannoths_task,reach_out_and_touch_someone_task,a_palm_for_each_finger_task,its_my_newt_task,the_stonemasons_task,just_cant_get_the_staff_task,living_on_the_edge_task,look_spiffy_for_tiffy_task,passing_out_task,a_labour_of_loaf_task,familiar_fire_familiarity_task,abyssal_valet_task,boot_camp_task,the_rules_of_engagement_task,jumping_off_point_task,monkey_business_task,beware_of_pigzilla_task,romancing_the_stone_task,greasing_the_wheels_of_commerce_task,first_blood_task,why_oh_wyvern_task,ardougne_express_task,walkies_task,you_really_dont_need_any_more_shoes_task,dukes_of_khazard_task,king_coal_task,a_ton_of_earth_task,cool_story_bro_task,dog_and_bone_task,log_a_rhythm_task,royale_with_thieve_task,heart_of_oak_task,its_nothing_personal_task,a_natural_thief_task,have_your_cake_and_eat_it_task,a_seer_ing_light_task,stick_a_bork_in_him_hes_done_task,meeting_history_again_task,yes_my_master_task,belter_of_a_smelter_task,challenge_vannaka_task,alch_aholic_task,death_from_above_task
